CD,DNS Imps Lasers,Rede Imps Lasers,DNS imps Térmicas Mesa,Rede imps Térmicas Mesa,DNS imps Térmicas Mesa,Rede ImpsTérmicas WIFI
050,imp_050_fat_nf1, 10.61.145.0/24,imp_050_exp_etq_01,,imp_050_conf_etq_01,
094,imp_094_fat_nf1,10.50.242.0/24,imp_094_exp_etq_01,,imp_094_conf_etq_01,
095,imp_095_fat_nf1,10.100.95.0/24,imp_095_exp_etq_01,,imp_095_conf_etq_01,
300,imp_300_fat_nf1,,imp_300_exp_etq_01,,imp_300_conf_etq_01,
350,imp_350_fat_nf1,10.70.82.0/24,imp_350_exp_etq_01,10.70.82.0,imp_350_conf_etq_01,
490,imp_490_fat_nf1,,imp_490_exp_etq_01,,imp_490_conf_etq_01,
550,imp_550_fat_nf1,,imp_550_exp_etq_01,,imp_550_conf_etq_01,
590,imp_590_fat_nf1,,imp_590_exp_etq_01,,imp_590_conf_etq_01,
991,imp_991_fat_nf1,,imp_991_exp_etq_01,,imp_991_conf_etq_01,
994,imp_994_fat_nf1,,imp_994_exp_etq_01,,imp_994_conf_etq_01,
997,imp_997_fat_nf1,,imp_997_exp_etq_01,,imp_997_conf_etq_01,
1100,imp_1100_fat_nf1,,imp_1100_exp_etq_01,,imp_1100_conf_etq_01,
1250,imp_1250_fat_nf1,,imp_1250_exp_etq_01,,imp_1250_conf_etq_01,
1440,imp_1440_fat_nf1,,imp_1440_exp_etq_01,,imp_1440_conf_etq_01,
1500,imp_1500_fat_nf1,,imp_1500_exp_etq_01,,imp_1500_conf_etq_01,
1800,imp_1800_fat_nf1,,imp_1800_exp_etq_01,,imp_1800_conf_etq_01,
1900,imp_1900_fat_nf1,,imp_1900_exp_etq_01,,imp_1900_conf_etq_01,
2005,imp_2005_fat_nf1,,imp_2005_exp_etq_01,,imp_2005_conf_etq_01,
2006,imp_2006_fat_nf1,,imp_2006_exp_etq_01,,imp_2006_conf_etq_01,
2406,imp_2406_fat_nf1,,imp_2406_exp_etq_01,,imp_2406_conf_etq_01,
2500,imp_2500_fat_nf1,,imp_2500_exp_etq_01,,imp_2500_conf_etq_01,
2650,imp_2650_fat_nf1,,imp_2650_exp_etq_01,,imp_2650_conf_etq_01,
2900,imp_2900_fat_nf1,,imp_2900_exp_etq_01,,imp_2900_conf_etq_01,
5200,imp_5200_fat_nf1,10.60.162.0,imp_5200_exp_etq_01,,imp_5200_conf_etq_01,
