CD,Range 01,Range 02,Range 03,Range 04,Range 05,Range 06,Range 07,Range 08,Range 09,Range 10,Range 11,Range 12,Range 13,Range 14,Range 15,Range 16
50,10.61.145.0/24,10.61.149.0/24,,,,,,,,,,,,,,
94,10.50.242.0/24,10.50.243.0/24,,,,,,,,,,,,,,
95,10.100.95.0/24,,,,,,,,,,,,,,,
300,10.46.225.0/24,10.46.201.0/24,10.46.214.0/24,10.146.8.0/24,10.46.18.0/24,10.46.2.0/24,10.46.203.0/24,10.46.217.0/24,10.46.223.0/24,10.46.224.0/24,10.46.226.0/24,10.46.228.0/24,10.46.7.0/24,10.46.8.0/24,10.46.9.0/24,10.48.2.0/24
350,10.70.82.0/24,10.70.85.0/24,10.70.73.0/24,,,,,,,,,,,,
490,10.60.217.0/24,10.60.220.0/24,,,,,,,,,,,,,,
550,10.70.112.0/24,10.70.114.0/24,,,,,,,,,,,,,,
590,10.61.2.0/24,10.61.6.0/24,,,,,,,,,,,,,,
991,10.60.131.0/24,10.60.132.0/24,,,,,,,,,,,,,,
994,10.60.82.0/24,10.60.83.0/24,,,,,,,,,,,,,,
997,10.50.160.0/24,,,,,,,,,,,,,,,
1100,10.60.98.0/24,10.60.99.0/24,,,,,,,,,,,,,,
1250,10.60.2.0/24,10.60.3.0/24,,,,,,,,,,,,,,
1440,10.70.96.0/24,10.70.98.0/24,,,,,,,,,,,,,,
1500,10.60.18.0/24,10.60.19.0/24,,,,,,,,,,,,,,
1800,10.60.34.0/24,10.60.35.0/24,,,,,,,,,,,,,,
1900,10.70.49.0/24,10.70.53.0/24,10.70.54.0/24,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2406,,,,,,,,,,,,,,,,
2500,10.61.130.0/24,10.70.59.0/24,,,,,,,,,,,,,,
2650,10.60.226.0/24,10.60.229.0/24,,,,,,,,,,,,,,
2900,10.60.178.0/24,10.60.180.0/24,,,,,,,,,,,,,,
5200,10.60.162.0/24,10.60.164.0/24,,,,,,,,,,,,,,
