IPs,,,,,GFL,,,
CD,Operadora ,IP Rede,Rede Interna,,CD,Operadora ,IP Rede,Rede Interna
50,Algar-300Mb,200.146.233.240 /29,10.61.144.0 /20,,Jundiai,AmericaNet - 300Mbps,186.225.99.21 /31,10.71.16.0 /21
50,Alcans-300Mb,177.200.78.152 /29,,,Jundiai,Vivo - 300Mbps,187.51.89.88 / 30,
94,Algar - 100Mbps,201.48.84.248 /29,10.50.250.0 /20,,Osasco-HUB,Vivo - 100Mbps,186.201.21.192 /30,10.71.8.0 /21
94,Embratel - 100Mbps,201.44.56.48 /29,,,Osasco-HUB,AmericaNet - 100Mbps,201.46.24.231 /32,
95,Vivo - 100Mb,177.43.77.248 /29,10.100.95.0 /24,,Osasco - LM,Vivo - 100Mbps,189.108.197.112 /30,10.71.80.0 /21
95,Digitel-Net - 100Mb,177.74.129.64 /29,,,Osasco - LM,AmericaNet - 100Mbps,201.46.24.236 /32,
300,Algar - 1Gb,187.72.61.152 /29,10.46.0.0 /16,,Betim,Vivo - 100Mbps,189.20.188.24 /30,10.71.104.0 /21
300,Mundivox - 1Gb,179.191.82.80 /29,,,Betim,Mundivox - 100Mbps,149.19.206.156 /30,
350,Embratel - 100Mb,189.23.43.224 /28,10.70.80.0 /20,,Pavuna,Vivo - 100Mbps,201.91.161.136 /30,10.71.72.0 /21
350,Mundivox - 100Mb,187.111.28.32 /29,,,Pavuna,AmericaNet - 100Mbps,187.108.45.164 /30,
490,Embratel - 100Mb,189.3.127.128 /29,10.60.216.0 /21,,Ribeirão Preto,Alcans - 100Mbps,177.74.191.72 /30,10.71.56.0 /21
490,Conectja - 100Mb,138.121.137.248 /29,,,Ribeirão Preto,Mega telecom - 100Mbps,186.237.143.8 /30,
550,Embratel - 100Mb,189.42.38.176 /29,10.50.152.0 /30 10.102.2.0/24                                 10.70.112.0 /20,,SP - V Guilherme,Embratel  -100Mbps,200.211.191.0 / 28,10.70.24.0 /21
550,Algar - 100Mb,200.233.161.192 /29,,,SP - V Guilherme,Algar - 100Mbps,189.112.112.32 /28,
590,Algar - 500Mb,201.48.108.40 /29,10.61.0.0 /17,,Franca,Vivo - 100Mbps,186.200.56.248 /29,10.71.0.0 / 21
590,Mundivox - 500Mb,67.159.234.88 /29,,,Franca,COM4 - 100Mbps,189.90.143.48 /29,
991,Algar - 300Mb,201.16.177.64 /28,10.60.128.0 /19,,Serra,Embratel - 100Mbps,189.43.76.224 / 29,10.71.24.0 /21
